round,train_acc,test_acc,loss
1,0.022152395915161036,0.030378348522507596,4.124877626281586
2,0.05772191673212883,0.08340237503452085,4.050995656845485
3,0.05772191673212883,0.07925987296326982,3.9226164566288664
4,0.060204241948153964,0.1231703949185308,3.832172097767364
5,0.060581304006284364,0.17011875172604252,3.7769113291498377
6,0.1434406912804399,0.23170394918530793,3.7176546709407794
7,0.13052631578947368,0.2347417840375587,3.668568819473212
8,0.11371563236449332,0.24937862468931235,3.656217805261409
9,0.1456087981146897,0.2579397956365645,3.555536935422276
10,0.14378633150039277,0.27533830433581885,3.5211473247419565
11,0.14670856245090338,0.26208229770781555,3.426831674984034
12,0.2076040848389631,0.2874896437448219,3.401269895337096
13,0.12634721131186175,0.26926263463131733,3.3323939212018434
14,0.19220738413197172,0.2844518088925711,3.255156147516225
15,0.20493322859387275,0.28555647611157137,3.2083680227427678
16,0.2511861743912019,0.296050814692074,3.161708373517761
17,0.2557109190887667,0.29466998066832367,3.112188145917478
18,0.28072270227808327,0.3140016570008285,3.074935597038111
19,0.28926944226237233,0.3115161557580779,3.050780811747014
20,0.2915946582875098,0.331952499309583,2.9986099289517743
21,0.32917517674783975,0.34217067108533555,2.972770903723505
22,0.3231107619795758,0.3416183374758354,2.9646554697748377
23,0.34689709347996855,0.3496271748135874,2.9504839526589683
24,0.3389159465828751,0.35017950842308754,2.958366977677955
25,0.3604084838963079,0.3526650096658382,2.9535997291192007
26,0.3661586802827965,0.3631593482463408,2.94565656230582
27,0.37304006284367636,0.37337752002209335,2.911927803416701
28,0.38878240377062057,0.38221485777409553,2.9124902168448807
29,0.3885310290652003,0.38138635735984533,2.9164182446471107
30,0.3893479968578162,0.380005523336095,2.922674204887721
31,0.3965750196386489,0.38746202706434685,2.9682298948408588
32,0.4091437549096622,0.3968516984258492,2.9568853791791803
33,0.4104948939512961,0.39574703120684895,2.977557165719501
34,0.4209897879025923,0.40127036730185034,2.9470308562465477
35,0.4224351924587588,0.40900303783485226,2.9854063104114887
36,0.43299293008641004,0.40375586854460094,2.989442451854201
37,0.4376119402985075,0.4131455399061033,3.0161024934841896
38,0.4408483896307934,0.4183927091963546,3.0172134985156034
39,0.4431736056559309,0.4211543772438553,3.0262134281254314
40,0.45973291437549096,0.4264015465341066,3.037620276846434
41,0.45520816967792616,0.43496271748135873,3.019792887032674
42,0.44747839748625295,0.4291632145816073,3.1021307455640708
43,0.4625923016496465,0.43496271748135873,3.057834223863401
44,0.4692537313432836,0.4380005523336095,3.0787143828427057
45,0.474344069128044,0.4421430544048605,3.113136424243993
46,0.4680282796543598,0.44877105771886217,3.1183163385567694
47,0.4810054988216811,0.44794255730461197,3.1383072148038353
48,0.4827022780832679,0.4531897265948633,3.152469225201084
49,0.4872584446190102,0.44794255730461197,3.1788322661536004
50,0.48794972505891593,0.4545705606186136,3.2073265313772956
